experiment,axis_sweep,op,dimension,density,sparse_factor,buffer_size,timing_source,d1,d2,num_nodes,num_edges,num_spaces,num_pieces,n,median_us,median_ms,min_us,max_us,speedup_cpu_over_gpu,gpu_tiles_median,gpu_tiles_min,gpu_tiles_max,gpu_oom_backoffs_median,gpu_oom_backoffs_min,gpu_oom_backoffs_max,gpu_host_fallback_median,gpu_host_fallback_min,gpu_host_fallback_max,gpu_input_rects_median,gpu_input_rects_min,gpu_input_rects_max,gpu_scratch_bytes_median,gpu_scratch_bytes_min,gpu_scratch_bytes_max
tile_sweep_dense_axes,log_axis,image,1d,dense,1,100,gpu_source,1,1,1000000,1000000,4,1,3,2994,2.994,2628,3054,15.319305277221108,1,1,1,0,0,0,0,0,0,1,1,1,1282000064,1282000064,1282000064
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,1,cpu_source,1,1,1000000,1000000,4,1,3,42463,42.463,41806,42477,15.357323688969258,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,1,gpu_source,1,1,1000000,1000000,4,1,3,2765,2.765,2670,3094,15.357323688969258,1,1,1,0,0,0,0,0,0,1,1,1,28050199,28050199,28050199
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,2,cpu_source,1,1,1000000,1000000,4,1,3,41265,41.265,41183,44526,13.973924822214697,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,2,gpu_source,1,1,1000000,1000000,4,1,3,2953,2.953,1765,3137,13.973924822214697,1,1,1,0,0,0,0,0,0,1,1,1,40880639,40880639,40880639
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,3,cpu_source,1,1,1000000,1000000,4,1,3,41742,41.742,41460,41775,14.988150807899462,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,3,gpu_source,1,1,1000000,1000000,4,1,3,2785,2.785,2560,3065,14.988150807899462,1,1,1,0,0,0,0,0,0,1,1,1,53711078,53711078,53711078
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,4,cpu_source,1,1,1000000,1000000,4,1,3,41421,41.421,41297,41534,23.860023041474655,,,,,,,,,,,,,,,
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,4,gpu_source,1,1,1000000,1000000,4,1,3,1736,1.736,1647,3085,23.860023041474655,1,1,1,0,0,0,0,0,0,1,1,1,66541518,66541518,66541518
tile_sweep_dense_axes,log_axis,image,1d,sparse,5,5,cpu_source,1,1,1000000,1000000,4,1,3,41776,41.776,41728,42009,14.137394247038918,,,,,,,,,,,,,,,
