experiment,op,dimension,density,sparse_factor,buffer_size,repeat,timing_source,time_us,time_ms,selected_field,gpu_tiles,gpu_oom_backoffs,gpu_host_fallback,gpu_input_rects,gpu_scratch_bytes,tile_rows_seen,d1,d2,num_nodes,num_edges,num_spaces,num_pieces,global_index,shard_id,field_mode,block_volume
tile_sweep_publication,image,1d,sparse,5,4,1,gpu_source,1647,1.647,gpu_us,1,0,0,1,66541518,2,1,1,1000000,1000000,4,1,37,1,block_random,1024
tile_sweep_publication,image,1d,sparse,5,5,1,cpu_source,42009,42.009,cpu_us,,,,,,,1,1,1000000,1000000,4,1,38,2,block_random,1024
tile_sweep_publication,image,1d,sparse,5,5,1,gpu_source,2986,2.986,gpu_us,1,0,0,1,79371957,2,1,1,1000000,1000000,4,1,39,3,block_random,1024
tile_sweep_publication,image,1d,sparse,5,7,1,cpu_source,41496,41.496,cpu_us,,,,,,,1,1,1000000,1000000,4,1,40,0,block_random,1024
tile_sweep_publication,image,1d,sparse,5,7,1,gpu_source,2888,2.888,gpu_us,1,0,0,1,105032836,2,1,1,1000000,1000000,4,1,41,1,block_random,1024
tile_sweep_publication,image,1d,sparse,5,10,1,cpu_source,41070,41.07,cpu_us,,,,,,,1,1,1000000,1000000,4,1,42,2,block_random,1024
tile_sweep_publication,image,1d,sparse,5,10,1,gpu_source,2820,2.82,gpu_us,1,0,0,1,143524155,2,1,1,1000000,1000000,4,1,43,3,block_random,1024
tile_sweep_publication,image,1d,sparse,5,15,1,cpu_source,41341,41.341,cpu_us,,,,,,,1,1,1000000,1000000,4,1,44,0,block_random,1024
tile_sweep_publication,image,1d,sparse,5,15,1,gpu_source,2787,2.787,gpu_us,1,0,0,1,207676352,2,1,1,1000000,1000000,4,1,45,1,block_random,1024
tile_sweep_publication,image,1d,sparse,5,20,1,cpu_source,41712,41.712,cpu_us,,,,,,,1,1,1000000,1000000,4,1,46,2,block_random,1024
tile_sweep_publication,image,1d,sparse,5,20,1,gpu_source,2862,2.862,gpu_us,1,0,0,1,271828550,2,1,1,1000000,1000000,4,1,47,3,block_random,1024
tile_sweep_publication,image,1d,sparse,5,25,1,cpu_source,41239,41.239,cpu_us,,,,,,,1,1,1000000,1000000,4,1,48,0,block_random,1024
tile_sweep_publication,image,1d,sparse,5,25,1,gpu_source,2697,2.697,gpu_us,1,0,0,1,335980748,2,1,1,1000000,1000000,4,1,49,1,block_random,1024
