experiment,op,dimension,density,sparse_factor,buffer_size,repeat,timing_source,selected_field,gpu_tiles,gpu_oom_backoffs,gpu_host_fallback,gpu_input_rects,gpu_scratch_bytes,tile_rows_seen,d1,d2,num_nodes,num_edges,num_spaces,num_pieces,rc,elapsed_s,cmd,result_json,tile_json,global_index,shard_id,field_mode,block_volume,gpu_us,cpu_us,path
tile_sweep_publication,image,1d,dense,1,7,1,cpu_source,cpu_us,4,5,1,4,91600004,2,1,1,1000000,1000000,4,1,0,4.704550,/pscratch/sd/r/rchanani/realm/build_pm_deppart/tests/benchmark -ll:gpu 1 -ll:cpu 1 -ll:fsize 8192 -dp:workers 1 -dp:hpool 256 -nocheck -block_random -block_volume 1024 -d1 1 -d2 1 image -n 1000000 -e 1000000 -p 1 -s 4 -f 1 -b 7,"{""buffer_size"": ""7"", ""cpu_us"": ""46229"", ""d1"": ""1"", ""d2"": ""1"", ""gpu_us"": ""4682"", ""num_edges"": ""1000000"", ""num_nodes"": ""1000000"", ""num_pieces"": ""1"", ""num_spaces"": ""4"", ""op"": ""image"", ""sparse_factor"": ""1""}","{""d1"": ""1"", ""d2"": ""1"", ""gpu_host_fallback"": ""1"", ""gpu_input_rects"": ""4"", ""gpu_oom_backoffs"": ""5"", ""gpu_scratch_bytes"": ""91600004"", ""gpu_tiles"": ""4"", ""op"": ""image"", ""path"": ""ptrs""}",10,2,block_random,1024,4682,46229,ptrs
tile_sweep_publication,image,1d,dense,1,7,1,gpu_source,gpu_us,4,5,1,4,91600004,2,1,1,1000000,1000000,4,1,0,4.402003,/pscratch/sd/r/rchanani/realm/build_pm_deppart/tests/benchmark -ll:gpu 1 -ll:cpu 1 -ll:fsize 8192 -dp:workers 1 -dp:hpool 256 -nocheck -block_random -block_volume 1024 -dp:noisectopt -d1 1 -d2 1 image -n 1000000 -e 1000000 -p 1 -s 4 -f 1 -b 7,"{""buffer_size"": ""7"", ""cpu_us"": ""45541"", ""d1"": ""1"", ""d2"": ""1"", ""gpu_us"": ""4642"", ""num_edges"": ""1000000"", ""num_nodes"": ""1000000"", ""num_pieces"": ""1"", ""num_spaces"": ""4"", ""op"": ""image"", ""sparse_factor"": ""1""}","{""d1"": ""1"", ""d2"": ""1"", ""gpu_host_fallback"": ""1"", ""gpu_input_rects"": ""4"", ""gpu_oom_backoffs"": ""5"", ""gpu_scratch_bytes"": ""91600004"", ""gpu_tiles"": ""4"", ""op"": ""image"", ""path"": ""ptrs""}",11,3,block_random,1024,4642,45541,ptrs
tile_sweep_publication,image,1d,dense,1,10,1,cpu_source,cpu_us,4,5,1,4,130000006,2,1,1,1000000,1000000,4,1,0,4.417079,/pscratch/sd/r/rchanani/realm/build_pm_deppart/tests/benchmark -ll:gpu 1 -ll:cpu 1 -ll:fsize 8192 -dp:workers 1 -dp:hpool 256 -nocheck -block_random -block_volume 1024 -d1 1 -d2 1 image -n 1000000 -e 1000000 -p 1 -s 4 -f 1 -b 10,"{""buffer_size"": ""10"", ""cpu_us"": ""47121"", ""d1"": ""1"", ""d2"": ""1"", ""gpu_us"": ""5083"", ""num_edges"": ""1000000"", ""num_nodes"": ""1000000"", ""num_pieces"": ""1"", ""num_spaces"": ""4"", ""op"": ""image"", ""sparse_factor"": ""1""}","{""d1"": ""1"", ""d2"": ""1"", ""gpu_host_fallback"": ""1"", ""gpu_input_rects"": ""4"", ""gpu_oom_backoffs"": ""5"", ""gpu_scratch_bytes"": ""130000006"", ""gpu_tiles"": ""4"", ""op"": ""image"", ""path"": ""ptrs""}",12,0,block_random,1024,5083,47121,ptrs
tile_sweep_publication,image,1d,dense,1,10,1,gpu_source,gpu_us,4,5,1,4,130000006,2,1,1,1000000,1000000,4,1,0,4.582575,/pscratch/sd/r/rchanani/realm/build_pm_deppart/tests/benchmark -ll:gpu 1 -ll:cpu 1 -ll:fsize 8192 -dp:workers 1 -dp:hpool 256 -nocheck -block_random -block_volume 1024 -dp:noisectopt -d1 1 -d2 1 image -n 1000000 -e 1000000 -p 1 -s 4 -f 1 -b 10,"{""buffer_size"": ""10"", ""cpu_us"": ""46962"", ""d1"": ""1"", ""d2"": ""1"", ""gpu_us"": ""4715"", ""num_edges"": ""1000000"", ""num_nodes"": ""1000000"", ""num_pieces"": ""1"", ""num_spaces"": ""4"", ""op"": ""image"", ""sparse_factor"": ""1""}","{""d1"": ""1"", ""d2"": ""1"", ""gpu_host_fallback"": ""1"", ""gpu_input_rects"": ""4"", ""gpu_oom_backoffs"": ""5"", ""gpu_scratch_bytes"": ""130000006"", ""gpu_tiles"": ""4"", ""op"": ""image"", ""path"": ""ptrs""}",13,1,block_random,1024,4715,46962,ptrs
tile_sweep_publication,image,1d,dense,1,15,1,cpu_source,cpu_us,2,2,1,2,194000009,2,1,1,1000000,1000000,4,1,0,4.613133,/pscratch/sd/r/rchanani/realm/build_pm_deppart/tests/benchmark -ll:gpu 1 -ll:cpu 1 -ll:fsize 8192 -dp:workers 1 -dp:hpool 256 -nocheck -block_random -block_volume 1024 -d1 1 -d2 1 image -n 1000000 -e 1000000 -p 1 -s 4 -f 1 -b 15,"{""buffer_size"": ""15"", ""cpu_us"": ""46634"", ""d1"": ""1"", ""d2"": ""1"", ""gpu_us"": ""3155"", ""num_edges"": ""1000000"", ""num_nodes"": ""1000000"", ""num_pieces"": ""1"", ""num_spaces"": ""4"", ""op"": ""image"", ""sparse_factor"": ""1""}","{""d1"": ""1"", ""d2"": ""1"", ""gpu_host_fallback"": ""1"", ""gpu_input_rects"": ""2"", ""gpu_oom_backoffs"": ""2"", ""gpu_scratch_bytes"": ""194000009"", ""gpu_tiles"": ""2"", ""op"": ""image"", ""path"": ""ptrs""}",14,2,block_random,1024,3155,46634,ptrs
tile_sweep_publication,image,1d,dense,1,15,1,gpu_source,gpu_us,2,2,1,2,194000009,2,1,1,1000000,1000000,4,1,0,4.407135,/pscratch/sd/r/rchanani/realm/build_pm_deppart/tests/benchmark -ll:gpu 1 -ll:cpu 1 -ll:fsize 8192 -dp:workers 1 -dp:hpool 256 -nocheck -block_random -block_volume 1024 -dp:noisectopt -d1 1 -d2 1 image -n 1000000 -e 1000000 -p 1 -s 4 -f 1 -b 15,"{""buffer_size"": ""15"", ""cpu_us"": ""48429"", ""d1"": ""1"", ""d2"": ""1"", ""gpu_us"": ""3414"", ""num_edges"": ""1000000"", ""num_nodes"": ""1000000"", ""num_pieces"": ""1"", ""num_spaces"": ""4"", ""op"": ""image"", ""sparse_factor"": ""1""}","{""d1"": ""1"", ""d2"": ""1"", ""gpu_host_fallback"": ""1"", ""gpu_input_rects"": ""2"", ""gpu_oom_backoffs"": ""2"", ""gpu_scratch_bytes"": ""194000009"", ""gpu_tiles"": ""2"", ""op"": ""image"", ""path"": ""ptrs""}",15,3,block_random,1024,3414,48429,ptrs
tile_sweep_publication,image,1d,dense,1,20,1,cpu_source,cpu_us,2,2,1,2,258000012,2,1,1,1000000,1000000,4,1,0,4.386569,/pscratch/sd/r/rchanani/realm/build_pm_deppart/tests/benchmark -ll:gpu 1 -ll:cpu 1 -ll:fsize 8192 -dp:workers 1 -dp:hpool 256 -nocheck -block_random -block_volume 1024 -d1 1 -d2 1 image -n 1000000 -e 1000000 -p 1 -s 4 -f 1 -b 20,"{""buffer_size"": ""20"", ""cpu_us"": ""46030"", ""d1"": ""1"", ""d2"": ""1"", ""gpu_us"": ""3568"", ""num_edges"": ""1000000"", ""num_nodes"": ""1000000"", ""num_pieces"": ""1"", ""num_spaces"": ""4"", ""op"": ""image"", ""sparse_factor"": ""1""}","{""d1"": ""1"", ""d2"": ""1"", ""gpu_host_fallback"": ""1"", ""gpu_input_rects"": ""2"", ""gpu_oom_backoffs"": ""2"", ""gpu_scratch_bytes"": ""258000012"", ""gpu_tiles"": ""2"", ""op"": ""image"", ""path"": ""ptrs""}",16,0,block_random,1024,3568,46030,ptrs
tile_sweep_publication,image,1d,dense,1,20,1,gpu_source,gpu_us,2,2,1,2,258000012,2,1,1,1000000,1000000,4,1,0,4.578233,/pscratch/sd/r/rchanani/realm/build_pm_deppart/tests/benchmark -ll:gpu 1 -ll:cpu 1 -ll:fsize 8192 -dp:workers 1 -dp:hpool 256 -nocheck -block_random -block_volume 1024 -dp:noisectopt -d1 1 -d2 1 image -n 1000000 -e 1000000 -p 1 -s 4 -f 1 -b 20,"{""buffer_size"": ""20"", ""cpu_us"": ""45569"", ""d1"": ""1"", ""d2"": ""1"", ""gpu_us"": ""3083"", ""num_edges"": ""1000000"", ""num_nodes"": ""1000000"", ""num_pieces"": ""1"", ""num_spaces"": ""4"", ""op"": ""image"", ""sparse_factor"": ""1""}","{""d1"": ""1"", ""d2"": ""1"", ""gpu_host_fallback"": ""1"", ""gpu_input_rects"": ""2"", ""gpu_oom_backoffs"": ""2"", ""gpu_scratch_bytes"": ""258000012"", ""gpu_tiles"": ""2"", ""op"": ""image"", ""path"": ""ptrs""}",17,1,block_random,1024,3083,45569,ptrs
tile_sweep_publication,image,1d,dense,1,25,1,cpu_source,cpu_us,2,2,1,2,322000016,2,1,1,1000000,1000000,4,1,0,4.697452,/pscratch/sd/r/rchanani/realm/build_pm_deppart/tests/benchmark -ll:gpu 1 -ll:cpu 1 -ll:fsize 8192 -dp:workers 1 -dp:hpool 256 -nocheck -block_random -block_volume 1024 -d1 1 -d2 1 image -n 1000000 -e 1000000 -p 1 -s 4 -f 1 -b 25,"{""buffer_size"": ""25"", ""cpu_us"": ""46107"", ""d1"": ""1"", ""d2"": ""1"", ""gpu_us"": ""3524"", ""num_edges"": ""1000000"", ""num_nodes"": ""1000000"", ""num_pieces"": ""1"", ""num_spaces"": ""4"", ""op"": ""image"", ""sparse_factor"": ""1""}","{""d1"": ""1"", ""d2"": ""1"", ""gpu_host_fallback"": ""1"", ""gpu_input_rects"": ""2"", ""gpu_oom_backoffs"": ""2"", ""gpu_scratch_bytes"": ""322000016"", ""gpu_tiles"": ""2"", ""op"": ""image"", ""path"": ""ptrs""}",18,2,block_random,1024,3524,46107,ptrs
tile_sweep_publication,image,1d,dense,1,25,1,gpu_source,gpu_us,2,2,1,2,322000016,2,1,1,1000000,1000000,4,1,0,4.414279,/pscratch/sd/r/rchanani/realm/build_pm_deppart/tests/benchmark -ll:gpu 1 -ll:cpu 1 -ll:fsize 8192 -dp:workers 1 -dp:hpool 256 -nocheck -block_random -block_volume 1024 -dp:noisectopt -d1 1 -d2 1 image -n 1000000 -e 1000000 -p 1 -s 4 -f 1 -b 25,"{""buffer_size"": ""25"", ""cpu_us"": ""45807"", ""d1"": ""1"", ""d2"": ""1"", ""gpu_us"": ""3521"", ""num_edges"": ""1000000"", ""num_nodes"": ""1000000"", ""num_pieces"": ""1"", ""num_spaces"": ""4"", ""op"": ""image"", ""sparse_factor"": ""1""}","{""d1"": ""1"", ""d2"": ""1"", ""gpu_host_fallback"": ""1"", ""gpu_input_rects"": ""2"", ""gpu_oom_backoffs"": ""2"", ""gpu_scratch_bytes"": ""322000016"", ""gpu_tiles"": ""2"", ""op"": ""image"", ""path"": ""ptrs""}",19,3,block_random,1024,3521,45807,ptrs
