app,p,n,gpu_us_median,gpu_us_min,gpu_us_max,cpu_us_median,cpu_us_min,cpu_us_max,speedup_median,speedup_min,speedup_max
pennant,1,3,8217.0,8044.0,8238.0,143426.0,141496.0,144765.0,17.617744,17.176014,17.830184
pennant,2,3,9502.0,9330.0,9545.0,193297.0,189225.0,198938.0,20.28135,20.251126,20.936434
pennant,3,3,9719.0,9502.0,9757.0,194654.0,191616.0,337206.0,20.16586,19.95019,34.695545
pennant,4,3,8661.0,8577.0,9091.0,203107.0,198489.0,325921.0,23.142008,22.341547,37.630874
